264183816548130816	15140428	chapel hill	"positive"	Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)
263405084770172928	591166521	rafa	"negative"	Theo Walcott is still shit, watch Rafa and Johnny deal with him on Saturday.
262163168678248449	35266263	nick diaz	"negative"	its not that I'm a GSP fan, i just hate Nick Diaz. can't wait for february.
264249301910310912	18516728	israel	"negative"	Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
262682041215234048	254373818	tehran	"objective-OR-neutral"	Tehran, Mon Amour: Obama Tried to Establish Ties with the Mullahs http://pjmedia.com/tatler/2012/10/28/tehran-mon-amour-obama-tried-to-establish-ties-with-the-mullahs/ … via @PJMedia_com No Barack Obama - Vote Mitt Romney
264229576773861376	518129399	harry	"neutral"	I sat through this whole movie just for Harry and Ron at christmas. ohlawd
264105751826538497	147088367	poland	"positive"	with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
264094586689953794	332474633	act	"negative"	Talking about ACT's && SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out.
212392538055778304	274996324	happy valentines day	"objective"	Why is "Happy Valentines Day" trending? It's on the 14th of February not 12th of June smh..
254941790757601280	557103111	superbowl	"negative"	They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
264169034155696130	382403760	candy	"neutral"	Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched
263192091700654080	344222239	tim cook	"objective-OR-neutral"	Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://bit.ly/XQEhJU 
263398998675693568	812957996	nta	"positive"	Watching English Vinglish!
263650552167157762	224845471	victor cruz	"positive"	One of my best 8th graders Kory was excited after his touchdown today!! He did the victor cruz!!lol pic.twitter.com/tqORFrXB
260200142420992000	332530284	nadal	"objective"	#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://bit.ly/WY4Vjy  #LiveWireAthletics
264087629237202944	61903760	chapel hill	"positive"	Men get mad at each other, fight, and get over it. Women get mad, and will hold a grudge that lasts forever.
250692636330049538	29023839	grammys	"neutral"	So Haley's next single is coming out in November..... I hope it's not true.
263304719471087617	564843841	tehran	"objective"	#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://bit.ly/XSTGtd 
