263816256640126976	473936453	"objective-OR-neutral"	Did y&#39;all hear what Tony Romo dressed up as for Halloween? A Giants quaterback! Cause that&#39;s all he could throw to sunday night.
260097528899452929	595739778	"neutral"	Won the match #getin . Plus, tomorrow is a very busy day, with Awareness Day&#39;s and debates. Gulp. Debates...
263791921753882624	83619901	"neutral"	Some areas of New England could see the first flakes of the season Tuesday.
260486470828171265	44399968	"objective-OR-neutral"	Tina Fey &amp; Amy Poehler are hosting the Golden Globe awards on January 13. What do you think?
263790847424880641	420538325	"positive"	SNC Halloween Pr. Pumped. Let&#39;s work it for Sunday....Packers vs....who knows or caresn. #SNC #cheerpracticeonhalloween
262968617233162240	757209662	"positive"	Lunch from my new Lil spot ...THE COTTON BOWL ....pretty good#1st#time#will be going back# http://instagr.am/p/RX9939CIv8/
264255236435243008	43034734	"negative"	@jacquelinemegan I&#39;m sorry, I Heart Paris is no longer available at the Rockwell branch! You may call 8587000 to get a copy transferred! :)
264221473558917120	331180650	"neutral"	Manchester United will try to return to winning ways when they face Arsenal in the Premier League at Old Trafford on Saturday.
264091690632105984	241608245	"neutral"	Going to a bulls game with Aaliyah &amp; hope next Thursday
263929564907069441	223899398	"neutral"	Any Toon Fans with a spare ticket for Anfield on Sunday?willing to pay extra #NUFC
263759328782204928	563441482	"positive"	Louis inspired outfit on Monday and Zayn inspired outfit today..4/5 done just need Harry :)
259546192722161664	564239094	"objective"	going to bed now...Rose parade then game tomorrow
264249030572392448	56019726	"neutral"	@_Nenaah oh cause my friend got something from china and they said it will take at least 6 to 8 weeks and it came in the 2nd week :P
264123482206519296	312108161	"positive"	I love the banner that was unfurled in the United end last night. It read: &quot;Chelsea - Standing up against racism since Sunday&quot;
264255668180090880	200367404	"positive"	#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one http://instagr.am/p/RhHSc9lqms/
263972796454027265	17975115	"negative"	@prodnose is this one of your little jokes like Elvis playing at the Marquee next Tuesday?
264222689177264128	238082839	"negative"	Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday, with investors waiting for... http://dlvr.it/2QJhYs
264030775568109568	546146767	"positive"	Lana Del Rey at Hammersmith Apollo in May... Very badly want tickets
264163852365729793	67719080	"objective-OR-neutral"	.@NUMensSoccer: Another close-range IU shot goes high. Kyle Schickel checks in for Missimo. Kyle missed the Wisconsin game last Sunday.
251535900759175169	27934142	"neutral"	Shaw wouldn&#39;t let Luck throw late in the FIesta Bowl, but he&#39;s fine with Nunes throwing a fade route on 4th and 4 w/ 1:50 left.
264247453551833088	372313342	"negative"	Monday before I leave Singapore, I am going to post something that might be offensive.
264205556212957184	15992060	"positive"	ABC has @jaketapper , and the Country Music Awards, they may still have a little credibility come Wednesday. #tcot
264238968747487232	58147114	"positive"	Here in the Philippines, Its November 2 and I was like where&#39;s my phone?! What is the time in LONDON?! #Excited #LittleThngs @NiallOfficial
264110966025908224	24698721	"positive"	Tonight Dr. Terrie Hale Scheckelhoff will be formally installed as the 11th Head of School. Welcome to the Saints family @TScheckelhoff!
264255443646443520	58580486	"neutral"	Man, bye. I gotta work all day and drive to Houston tomorrow.
259176690578771968	14283914	"negative"	&#39;Love-cheat&#39; Daniel Radcliffe splits with girlfriend Rosie Coker: London, Oct 19: Daniel Radcliffe has split wit... http://tinyurl.com/8oxx2ns
262664195248623616	39938577	"positive"	Patriots Extend Lead, Cruise into 4th with 38-7 Lead - Pats Pulpit: The Patriots extended their lead in the 3rd ... http://sbn.to/VVq28i
263138318550700032	99380608	"positive"	@solz_b He&#39;s a true Niners fan, he brought it up in a interview during his 2nd season. :D
263950623299469312	282962709	"positive"	@KevOrf_5 Yeah I think so. We saw Suarez score up near us and we played pretty well 2nd half so it wasn&#39;t so bad. Probably should&#39;ve had ET
264224174153818113	337413099	"neutral"	I may exit off twitter and fb and thug with instagram btw its blonde_lifestyle:insta
264169073632505857	191125886	"objective-OR-neutral"	Indiana 1, Northwestern 0, end first half, men&#39;s soccer. Eriq Zavaleta&#39;s 16th goal the difference. IU dominating play. #iusocc
263153174498643968	201082337	"positive"	Pretty Little Liars was the shit ! I can&#39;t wait til tomorrow ! I wanna see who all innocent &amp; who got something to do with Allison dying !
264137527508729856	16303811	"positive"	@MonicaGonzo Texas and Baylor both looked awesome last night. We are heading to the games tomorrow night.I say final is Texas/Baylor
264224316193902592	195495464	"positive"	GREAT GAME GIRLS!! On to districts Monday at Fox!! Thanks to the fans for coming out :)
264215005594017792	352765275	"neutral"	If you are in Vancouver this weekend, check out @staticstars on Sat. at 20:00 @ The Commo in Vancouver, BC http://www.reverbnation.com/c./poni/149693047 #concert
